CLOSED_AT,OPENED_AT,OPEN,HIGH,LOW,CLOSE,VOLUME,COMPONENT,BUCKET
2022-01-01T00:35:59.999Z,2022-01-01T00:35:00Z,46443.65000000,46489.12000000,46443.64000000,46468.94000000,30.90804000,,2022
2022-01-01T00:36:59.999Z,2022-01-01T00:36:00Z,46468.95000000,46508.00000000,46466.03000000,46499.99000000,20.46056000,,2022
2022-01-01T00:37:59.999Z,2022-01-01T00:37:00Z,46499.99000000,46513.46000000,46471.56000000,46508.60000000,15.46005000,,2022
2022-01-01T00:38:59.999Z,2022-01-01T00:38:00Z,46508.61000000,46512.05000000,46499.83000000,46500.01000000,10.65160000,,2022
2022-01-01T00:39:59.999Z,2022-01-01T00:39:00Z,46500.01000000,46590.00000000,46498.42000000,46530.70000000,35.63549000,,2022
2022-01-01T00:40:59.999Z,2022-01-01T00:40:00Z,46530.71000000,46576.78000000,46503.51000000,46574.03000000,33.84476000,,2022
2022-01-01T00:41:59.999Z,2022-01-01T00:41:00Z,46574.06000000,46656.28000000,46561.53000000,46634.13000000,48.42193000,,2022
2022-01-01T00:42:59.999Z,2022-01-01T00:42:00Z,46634.14000000,46689.42000000,46627.15000000,46644.03000000,73.12964000,,2022
2022-01-01T00:43:59.999Z,2022-01-01T00:43:00Z,46644.03000000,46670.13000000,46636.43000000,46657.84000000,16.39351000,,2022
2022-01-01T00:44:59.999Z,2022-01-01T00:44:00Z,46657.84000000,46657.84000000,46610.74000000,46610.81000000,19.34913000,,2022
2022-01-01T00:45:59.999Z,2022-01-01T00:45:00Z,46610.81000000,46621.08000000,46575.76000000,46621.00000000,29.09297000,,2022
2022-01-01T00:46:59.999Z,2022-01-01T00:46:00Z,46621.01000000,46647.00000000,46619.57000000,46637.70000000,23.03267000,,2022
2022-01-01T00:47:59.999Z,2022-01-01T00:47:00Z,46637.71000000,46674.60000000,46627.48000000,46672.46000000,28.10511000,,2022
2022-01-01T00:48:59.999Z,2022-01-01T00:48:00Z,46672.47000000,46731.00000000,46657.05000000,46717.92000000,59.55703000,,2022
2022-01-01T00:49:59.999Z,2022-01-01T00:49:00Z,46717.91000000,46731.39000000,46684.71000000,46693.74000000,28.87589000,,2022
2022-01-01T00:50:59.999Z,2022-01-01T00:50:00Z,46693.75000000,46702.89000000,46673.57000000,46691.17000000,29.46041000,,2022
2022-01-01T00:51:59.999Z,2022-01-01T00:51:00Z,46691.17000000,46708.59000000,46674.92000000,46681.73000000,25.20345000,,2022
2022-01-01T00:52:59.999Z,2022-01-01T00:52:00Z,46681.73000000,46683.75000000,46628.60000000,46666.75000000,28.23488000,,2022
2022-01-01T00:53:59.999Z,2022-01-01T00:53:00Z,46666.74000000,46668.13000000,46633.70000000,46640.98000000,11.23276000,,2022
2022-01-01T00:54:59.999Z,2022-01-01T00:54:00Z,46640.97000000,46698.29000000,46640.97000000,46659.65000000,39.27584000,,2022
2022-01-01T00:55:59.999Z,2022-01-01T00:55:00Z,46659.66000000,46672.97000000,46656.14000000,46671.69000000,19.61764000,,2022
2022-01-01T00:56:59.999Z,2022-01-01T00:56:00Z,46671.69000000,46674.46000000,46658.46000000,46670.21000000,14.07134000,,2022
2022-01-01T00:57:59.999Z,2022-01-01T00:57:00Z,46670.21000000,46690.16000000,46662.99000000,46685.42000000,18.48264000,,2022
2022-01-01T00:58:59.999Z,2022-01-01T00:58:00Z,46685.42000000,46685.44000000,46660.00000000,46660.01000000,11.07046000,,2022
2022-01-01T00:59:59.999Z,2022-01-01T00:59:00Z,46660.00000000,46664.18000000,46630.46000000,46656.13000000,45.28027000,,2022
2022-01-01T01:00:59.999Z,2022-01-01T01:00:00Z,46656.14000000,46661.64000000,46647.29000000,46647.29000000,23.33749000,,2022
2022-01-01T01:01:59.999Z,2022-01-01T01:01:00Z,46649.17000000,46650.60000000,46580.53000000,46592.51000000,17.95685000,,2022
2022-01-01T01:02:59.999Z,2022-01-01T01:02:00Z,46592.51000000,46615.97000000,46574.06000000,46615.96000000,22.67699000,,2022
2022-01-01T01:03:59.999Z,2022-01-01T01:03:00Z,46615.97000000,46618.51000000,46579.34000000,46579.35000000,9.28617000,,2022
2022-01-01T01:04:59.999Z,2022-01-01T01:04:00Z,46579.34000000,46591.40000000,46575.99000000,46582.68000000,53.19023000,,2022
2022-01-01T01:05:59.999Z,2022-01-01T01:05:00Z,46582.67000000,46601.78000000,46579.90000000,46590.76000000,48.29667000,,2022
2022-01-01T01:06:59.999Z,2022-01-01T01:06:00Z,46590.77000000,46624.20000000,46590.76000000,46618.96000000,8.72225000,,2022
2022-01-01T01:07:59.999Z,2022-01-01T01:07:00Z,46619.82000000,46638.86000000,46608.49000000,46634.68000000,25.15869000,,2022
2022-01-01T01:08:59.999Z,2022-01-01T01:08:00Z,46634.68000000,46676.47000000,46634.68000000,46659.86000000,22.87310000,,2022
2022-01-01T01:09:59.999Z,2022-01-01T01:09:00Z,46659.86000000,46678.13000000,46658.01000000,46675.00000000,10.82830000,,2022
2022-01-01T01:10:59.999Z,2022-01-01T01:10:00Z,46675.00000000,46747.00000000,46674.99000000,46732.96000000,22.05852000,,2022
2022-01-01T01:11:59.999Z,2022-01-01T01:11:00Z,46732.95000000,46735.45000000,46695.80000000,46723.80000000,9.25021000,,2022
2022-01-01T01:12:59.999Z,2022-01-01T01:12:00Z,46723.81000000,46767.24000000,46723.80000000,46729.35000000,20.51435000,,2022
2022-01-01T01:13:59.999Z,2022-01-01T01:13:00Z,46729.34000000,46753.02000000,46724.31000000,46741.39000000,25.70054000,,2022
2022-01-01T01:14:59.999Z,2022-01-01T01:14:00Z,46741.39000000,46767.00000000,46732.44000000,46766.99000000,10.23738000,,2022
2022-01-01T01:15:59.999Z,2022-01-01T01:15:00Z,46766.99000000,46787.12000000,46752.17000000,46786.21000000,16.75636000,,2022
2022-01-01T01:16:59.999Z,2022-01-01T01:16:00Z,46786.21000000,46844.77000000,46782.19000000,46840.30000000,26.15127000,,2022
2022-01-01T01:17:59.999Z,2022-01-01T01:17:00Z,46840.29000000,46896.74000000,46840.00000000,46877.05000000,37.77889000,,2022
2022-01-01T01:18:59.999Z,2022-01-01T01:18:00Z,46877.04000000,46877.05000000,46829.83000000,46874.76000000,27.28686000,,2022
2022-01-01T01:19:59.999Z,2022-01-01T01:19:00Z,46874.77000000,46900.00000000,46857.03000000,46876.81000000,13.26595000,,2022
2022-01-01T01:20:59.999Z,2022-01-01T01:20:00Z,46876.82000000,46949.99000000,46876.81000000,46904.72000000,27.11510000,,2022
2022-01-01T01:21:59.999Z,2022-01-01T01:21:00Z,46904.72000000,46914.73000000,46868.38000000,46868.42000000,14.48681000,,2022
2022-01-01T01:22:59.999Z,2022-01-01T01:22:00Z,46868.41000000,46885.25000000,46818.00000000,46827.00000000,14.91667000,,2022
2022-01-01T01:23:59.999Z,2022-01-01T01:23:00Z,46827.01000000,46875.55000000,46827.00000000,46855.14000000,8.28826000,,2022
2022-01-01T01:24:59.999Z,2022-01-01T01:24:00Z,46855.14000000,46857.28000000,46799.00000000,46846.03000000,16.29010000,,2022
2022-01-01T01:25:59.999Z,2022-01-01T01:25:00Z,46846.04000000,46869.16000000,46809.15000000,46812.19000000,17.73402000,,2022
2022-01-01T01:26:59.999Z,2022-01-01T01:26:00Z,46812.19000000,46816.69000000,46780.86000000,46806.42000000,11.03099000,,2022
2022-01-01T01:27:59.999Z,2022-01-01T01:27:00Z,46806.42000000,46838.00000000,46798.74000000,46801.24000000,8.99423000,,2022
2022-01-01T01:28:59.999Z,2022-01-01T01:28:00Z,46801.24000000,46815.39000000,46790.64000000,46793.26000000,12.86464000,,2022
